AD: Europe/Andorra
AE: Asia/Dubai
AF: Asia/Kabul
AG: America/Antigua
AI: America/Anguilla
AL: Europe/Tirane
AM: Asia/Yerevan
AO: Africa/Lagos
AQ: Antarctica/McMurdo
AQ: Antarctica/Casey
AQ: Antarctica/Davis
AQ: Antarctica/DumontDUrville
AQ: Antarctica/Mawson
AQ: Antarctica/Palmer
AQ: Antarctica/Rothera
AQ: Antarctica/Syowa
AQ: Antarctica/Troll
AQ: Antarctica/Vostok
AR: America/Argentina/Buenos_Aires
AR: America/Argentina/Cordoba
AR: America/Argentina/Salta
AR: America/Argentina/Jujuy
AR: America/Argentina/Tucuman
AR: America/Argentina/Catamarca
AR: America/Argentina/La_Rioja
AR: America/Argentina/San_Juan
AR: America/Argentina/Mendoza
AR: America/Argentina/San_Luis
AR: America/Argentina/Rio_Gallegos
AR: America/Argentina/Ushuaia
AS: Pacific/Pago_Pago
AT: Europe/Vienna
AU: Australia/Lord_Howe
AU: Antarctica/Macquarie
AU: Australia/Hobart
AU: Australia/Melbourne
AU: Australia/Sydney
AU: Australia/Broken_Hill
AU: Australia/Brisbane
AU: Australia/Lindeman
AU: Australia/Adelaide
AU: Australia/Darwin
AU: Australia/Perth
AU: Australia/Eucla
AW: America/Aruba
AX: Europe/Helsinki
AZ: Asia/Baku
BA: Europe/Belgrade
BB: America/Barbados
BD: Asia/Dhaka
BE: Europe/Brussels
BF: Africa/Abidjan
BG: Europe/Sofia
BH: Asia/Bahrain
BI: Africa/Maputo
BJ: Africa/Lagos
BL: America/St_Barthelemy
BM: Atlantic/Bermuda
BN: Asia/Brunei
BO: America/La_Paz
BQ: America/Kralendijk
BR: America/Noronha
BR: America/Belem
BR: America/Fortaleza
BR: America/Recife
BR: America/Araguaina
BR: America/Maceio
BR: America/Bahia
BR: America/Sao_Paulo
BR: America/Campo_Grande
BR: America/Cuiaba
BR: America/Santarem
BR: America/Porto_Velho
BR: America/Boa_Vista
BR: America/Manaus
BR: America/Eirunepe
BR: America/Rio_Branco
BS: America/Nassau
BT: Asia/Thimphu
BW: Africa/Maputo
BY: Europe/Minsk
BZ: America/Belize
CA: America/St_Johns
CA: America/Halifax
CA: America/Glace_Bay
CA: America/Moncton
CA: America/Goose_Bay
CA: America/Blanc-Sablon
CA: America/Toronto
CA: America/Iqaluit
CA: America/Pangnirtung
CA: America/Resolute
CA: America/Atikokan
CA: America/Rankin_Inlet
CA: America/Winnipeg
CA: America/Rainy_River
CA: America/Regina
CA: America/Swift_Current
CA: America/Edmonton
CA: America/Cambridge_Bay
CA: America/Yellowknife
CA: America/Inuvik
CA: America/Dawson_Creek
CA: America/Fort_Nelson
CA: America/Whitehorse
CA: America/Dawson
CA: America/Vancouver
CC: Indian/Cocos
CD: Africa/Lagos
CD: Africa/Maputo
CF: Africa/Lagos
CG: Africa/Lagos
CH: Europe/Zurich
CI: Africa/Abidjan
CK: Pacific/Rarotonga
CL: America/Santiago
CL: America/Punta_Arenas
CL: Pacific/Easter
CM: Africa/Lagos
CN: Asia/Shanghai
CN: Asia/Urumqi
CO: America/Bogota
CR: America/Costa_Rica
CU: America/Havana
CV: Atlantic/Cape_Verde
CW: America/Curacao
CX: Indian/Christmas
CY: Asia/Nicosia
CY: Asia/Famagusta
CZ: Europe/Prague
DE: Europe/Berlin
DE: Europe/Zurich
DJ: Africa/Nairobi
DK: Europe/Copenhagen
DM: America/Dominica
DO: America/Santo_Domingo
DZ: Africa/Algiers
EC: America/Guayaquil
EC: Pacific/Galapagos
EE: Europe/Tallinn
EG: Africa/Cairo
EH: Africa/El_Aaiun
ER: Africa/Nairobi
ES: Europe/Madrid
ES: Africa/Ceuta
ES: Atlantic/Canary
ET: Africa/Nairobi
FI: Europe/Helsinki
FJ: Pacific/Fiji
FK: Atlantic/Stanley
FM: Pacific/Chuuk
FM: Pacific/Pohnpei
FM: Pacific/Kosrae
FO: Atlantic/Faroe
FR: Europe/Paris
GA: Africa/Lagos
GB: Europe/London
GD: America/Grenada
GE: Asia/Tbilisi
GF: America/Cayenne
GG: Europe/London
GH: Africa/Abidjan
GI: Europe/Gibraltar
GL: America/Nuuk
GL: America/Danmarkshavn
GL: America/Scoresbysund
GL: America/Thule
GM: Africa/Abidjan
GN: Africa/Abidjan
GP: America/Guadeloupe
GQ: Africa/Lagos
GR: Europe/Athens
GS: Atlantic/South_Georgia
GT: America/Guatemala
GU: Pacific/Guam
GW: Africa/Bissau
GY: America/Guyana
HK: Asia/Hong_Kong
HN: America/Tegucigalpa
HR: Europe/Belgrade
HT: America/Port-au-Prince
HU: Europe/Budapest
ID: Asia/Jakarta
ID: Asia/Pontianak
ID: Asia/Makassar
ID: Asia/Jayapura
IE: Europe/Dublin
IL: Asia/Jerusalem
IM: Europe/London
IN: Asia/Kolkata
IO: Indian/Chagos
IQ: Asia/Baghdad
IR: Asia/Tehran
IS: Africa/Abidjan
IT: Europe/Rome
JE: Europe/London
JM: America/Jamaica
JO: Asia/Amman
JP: Asia/Tokyo
KE: Africa/Nairobi
KG: Asia/Bishkek
KH: Asia/Bangkok
KI: Pacific/Tarawa
KI: Pacific/Kanton
KI: Pacific/Kiritimati
KM: Africa/Nairobi
KN: America/St_Kitts
KP: Asia/Pyongyang
KR: Asia/Seoul
KW: Asia/Kuwait
KY: America/Cayman
KZ: Asia/Almaty
KZ: Asia/Qyzylorda
KZ: Asia/Qostanay
KZ: Asia/Aqtobe
KZ: Asia/Aqtau
KZ: Asia/Atyrau
KZ: Asia/Oral
LA: Asia/Bangkok
LB: Asia/Beirut
LC: America/St_Lucia
LI: Europe/Zurich
LK: Asia/Colombo
LR: Africa/Monrovia
LS: Africa/Johannesburg
LT: Europe/Vilnius
LU: Europe/Brussels
LV: Europe/Riga
LY: Africa/Tripoli
MA: Africa/Casablanca
MC: Europe/Monaco
MD: Europe/Chisinau
ME: Europe/Belgrade
MF: America/Marigot
MG: Africa/Nairobi
MH: Pacific/Majuro
MH: Pacific/Kwajalein
MK: Europe/Belgrade
ML: Africa/Abidjan
MM: Asia/Yangon
MN: Asia/Ulaanbaatar
MN: Asia/Hovd
MN: Asia/Choibalsan
MO: Asia/Macau
MP: Pacific/Saipan
MQ: America/Martinique
MR: Africa/Abidjan
MS: America/Montserrat
MT: Europe/Malta
MU: Indian/Mauritius
MV: Indian/Maldives
MW: Africa/Maputo
MX: America/Mexico_City
MX: America/Cancun
MX: America/Merida
MX: America/Monterrey
MX: America/Matamoros
MX: America/Mazatlan
MX: America/Chihuahua
MX: America/Ojinaga
MX: America/Hermosillo
MX: America/Tijuana
MX: America/Bahia_Banderas
MY: Asia/Kuala_Lumpur
MY: Asia/Kuching
MZ: Africa/Maputo
NA: Africa/Windhoek
NC: Pacific/Noumea
NE: Africa/Lagos
NF: Pacific/Norfolk
NG: Africa/Lagos
NI: America/Managua
NL: Europe/Brussels
NO: Europe/Oslo
NP: Asia/Kathmandu
NR: Pacific/Nauru
NU: Pacific/Niue
NZ: Pacific/Auckland
NZ: Pacific/Chatham
OM: Asia/Dubai
PA: America/Panama
PE: America/Lima
PF: Pacific/Tahiti
PF: Pacific/Marquesas
PF: Pacific/Gambier
PG: Pacific/Port_Moresby
PG: Pacific/Bougainville
PH: Asia/Manila
PK: Asia/Karachi
PL: Europe/Warsaw
PM: America/Miquelon
PN: Pacific/Pitcairn
PR: America/Puerto_Rico
PS: Asia/Gaza
PS: Asia/Hebron
PT: Europe/Lisbon
PT: Atlantic/Madeira
PT: Atlantic/Azores
PW: Pacific/Palau
PY: America/Asuncion
QA: Asia/Qatar
RE: Indian/Reunion
RO: Europe/Bucharest
RS: Europe/Belgrade
RU: Europe/Kaliningrad
RU: Europe/Moscow
RU: Europe/Kirov
RU: Europe/Volgograd
RU: Europe/Astrakhan
RU: Europe/Saratov
RU: Europe/Ulyanovsk
RU: Europe/Samara
RU: Asia/Yekaterinburg
RU: Asia/Omsk
RU: Asia/Novosibirsk
RU: Asia/Barnaul
RU: Asia/Tomsk
RU: Asia/Novokuznetsk
RU: Asia/Krasnoyarsk
RU: Asia/Irkutsk
RU: Asia/Chita
RU: Asia/Yakutsk
RU: Asia/Khandyga
RU: Asia/Vladivostok
RU: Asia/Ust-Nera
RU: Asia/Magadan
RU: Asia/Sakhalin
RU: Asia/Srednekolymsk
RU: Asia/Kamchatka
RU: Asia/Anadyr
RW: Africa/Maputo
SA: Asia/Riyadh
SB: Pacific/Guadalcanal
SC: Indian/Mahe
SD: Africa/Khartoum
SE: Europe/Helsinki
SG: Asia/Singapore
SH: Africa/Abidjan
SI: Europe/Belgrade
SJ: Europe/Oslo
SK: Europe/Prague
SL: Africa/Abidjan
SM: Europe/Rome
SN: Africa/Abidjan
SO: Africa/Nairobi
SR: America/Paramaribo
SS: Africa/Juba
ST: Africa/Sao_Tome
SV: America/El_Salvador
SX: America/Lower_Princes
SY: Asia/Damascus
SZ: Africa/Johannesburg
TC: America/Grand_Turk
TD: Africa/Ndjamena
TF: Indian/Kerguelen
TG: Africa/Abidjan
TH: Asia/Bangkok
TJ: Asia/Dushanbe
TK: Pacific/Fakaofo
TL: Asia/Dili
TM: Asia/Ashgabat
TN: Africa/Tunis
TO: Pacific/Tongatapu
TR: Europe/Istanbul
TT: America/Port_of_Spain
TV: Pacific/Funafuti
TW: Asia/Taipei
TZ: Africa/Nairobi
UA: Europe/Simferopol
UA: Europe/Kyiv
UG: Africa/Nairobi
UM: Pacific/Midway
UM: Pacific/Wake
UM: Pacific/Honolulu
US: America/New_York
US: America/Detroit
US: America/Kentucky/Louisville
US: America/Kentucky/Monticello
US: America/Indiana/Indianapolis
US: America/Indiana/Vincennes
US: America/Indiana/Winamac
US: America/Indiana/Marengo
US: America/Indiana/Petersburg
US: America/Indiana/Vevay
US: America/Chicago
US: America/Indiana/Tell_City
US: America/Indiana/Knox
US: America/Menominee
US: America/North_Dakota/Center
US: America/North_Dakota/New_Salem
US: America/North_Dakota/Beulah
US: America/Denver
US: America/Boise
US: America/Phoenix
US: America/Los_Angeles
US: America/Anchorage
US: America/Juneau
US: America/Sitka
US: America/Metlakatla
US: America/Yakutat
US: America/Nome
US: America/Adak
UY: America/Montevideo
UZ: Asia/Samarkand
UZ: Asia/Tashkent
VA: Europe/Rome
VC: America/St_Vincent
VE: America/Caracas
VG: America/Tortola
VI: America/St_Thomas
VN: Asia/Bangkok
VU: Pacific/Efate
WF: Pacific/Wallis
WS: Pacific/Apia
YE: Asia/Riyadh
YT: Africa/Nairobi
ZA: Africa/Johannesburg
ZM: Africa/Maputo
ZW: Africa/Maputo
